Application ID,Name,Passport ID,Phone Number,Purpose,Status,Progress
475366,monika b,M14S78A4,7899884562,Tourism,You application has been Rejected,Submitted ➝ You application has been Rejected
203744,monika b,M14S78A4,7899884562,Business,You application is Under Review,Submitted ➝ You application is Under Review
860339,monika b,M14S78A4,7899884562,Business,You application is Under Review,Submitted ➝ You application is Under Review
527993,shilpa,M14S78A7,7412589637,Business,You application is Under Review,Submitted ➝ You application is Under Review
876344,singh,M14S78A9,7412589630,Tourism,You application has been Rejected,Submitted ➝ You application has been Rejected
521456,shilpa,4444444P,7412589630,Business,You application is Under Review,Submitted ➝ You application is Under Review
350907,shilpa,4444444P,7412589630,Business,You application has been Rejected,Submitted ➝ You application has been Rejected
451036,Mansi M H,M14S78A7,7412589637,Study,Your application has been Approved,Submitted ➝ Your application has been Approved
311067,n vinutha,MN14G355,9745861236,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
943847,monika,M14S78A4,7412589631,Study,You application has been Approved,Submitted ➝ You application has been Approved
749685,pranati,14K474K4,7458987454,Tourism,You application has been Approved,Submitted ➝ You application has been Approved
102219,deeksha,M14S78A0,7412589630,Tourism,You application has been Approved,Submitted ➝ You application has been Approved
769647,deeksha,M14S78A0,7412589630,Business,You application is Under Review,Submitted ➝ You application is Under Review
913509,DEEPTHI,WWEWE155,5252525252,Study,You application has been Rejected,Submitted ➝ You application has been Rejected
738770,mahesh,M47F784C,7899884562,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
334741,geeta,12M7S456,7412589634,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
141686,Sham Sundar,14MM24V2,1425369871,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
352860,shilpa,4125N236,1365412350,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
928030,Mansi M H,12M7S454,7412589630,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
300898,Geeta,14MM24V0,7899887450,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
183413,heyy,12M7S457,1365412357,Study,Your application is Under Review,Submitted ➝ Your application is Under Review
479953,shreya,74A14C31,7456321874,Tourism,Your application is Under Review,Submitted ➝ Your application is Under Review
162629,Mansi M M,12M7S456,1425369871,Tourism,Your application is Under Review,Submitted ➝ Your application is Under Review
418495,Mansi M H,12M7S456,7899887458,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
992311,vinutha,745632S0,7899887450,Tourism,Your application is Under Review,Submitted ➝ Your application is Under Review
548081,vinutha,745632S0,7899887450,Tourism,Your application is Under Review,Submitted ➝ Your application is Under Review
224003,Mansi M H,12M7S456,7899887457,Tourism,Your application has been Approved,Submitted ➝ Your application has been Approved
